"a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
6270,62000,-188400,-47100,-570,-35100,0,2160,-7200,126400,-17900,-90230,4870,2700,-2380,-6860,239000,1050,167900,-1300,303000,2050,320,-7990,-98000,-4400,13330,57880,7350,85300
-90600,-3804000,-74750,-427800,66250,2026000,-286840,-471100,-1560600,135000,-61500,-19430,24000,-16780,-2110,8000,2254000,9450,542800,-60500,-2407100,205840,222100,141600,-288000,117500,22530,-99000,16480,70
378000,-450000,-103000,66000,2522000,-1761000,-101000,-612000,370000,-20000,-302000,-928000,-1473000,157200,155000,-129000,-380000,731000,-131000,-2106000,153000,-140000,885000,1270000,680000,1928000,1678000,1863000,1178000,9000
9e+05,5800000,-12200000,-7360000,1040000,-1260000,12540000,-4770000,-3290000,17700000,4770000,60000,-6800000,-3150000,3120000,-5040000,3e+05,1500000,3130000,2610000,1160000,-5e+06,10780000,14190000,-2.7e+07,-1160000,2910000,-11830000,560000,-3330000
12600,-235600,-116640,-3530,10670,97670,-360,-19800,614700,-82000,-1790,-32500,89710,-870,-31800,-58790,-1300,-4520,6660,-12700,-85800,-1510,18000,-624390,-114200,3890,43100,128900,4460,47900
-106570,1580,-26200,-2140,-8150,1750,37400,54800,1730,213000,7540,-410,-66800,69200,-490,652570,17120,1310,356720,1630000,700,-7700,29300,284710,1039000,-7540,2088750,5087300,-45700,39210
-105580,30500,-763700,-7670,15270,-57300,-300,-37570,-93500,1000,6560,-8510,-8400,120,-4840,9780,-100300,-29800,12070,-17600,876900,310,1120,-20780,-49700,154200,36410,14000,13770,745520
-72000,-77800,-696000,-64140,-13850,13000,-4740,-102330,-61500,28000,32900,-31000,92700,-1060,-670,-13500,-29000,-106670,2780,21950,123900,3940,29530,17200,120000,-35400,109800,-37000,-2460,31690
-16310000,-660000,1530000,-3540000,-390000,-3e+05,-305800,-2440000,-2100000,9800000,-1340000,-720000,-4380000,-989000,-6870000,2050000,380000,-1850000,4620000,960000,280000,269800,5330000,-1420000,-11060000,770000,2e+05,8180000,186000,750000
948000,1010000,-2652900,-24000,666400,-338000,-93200,-389560,-4300000,-735000,1190000,-88950,356770,0,-6490,40000,-2881000,-45500,578600,-686280,-254000,119200,10160,-11870000,341000,-649000,2331750,-256000,2800,2910
-34900,-63300,8310,40000,-76800,-14200,18300,-38200,-57600,-229900,60200,76800,-74200,-88600,12300,-34900,32300,51000,-17900,-43600,0,-21300,44600,12900,-41300,-29200,-66500,107200,1087600,-39100
-38230,-28900,-338000,-10600,-751100,104700,42920,-130100,126000,2000,-16100,-26330,80000,100,1960,12330,96700,-376200,325500,-44410,-93400,123800,6000,1198000,39000,7500,63130,-109500,13300,7810
-235110,376000,-317000,-73100,40300,-97100,32830,-542200,-541900,90000,-80500,-53300,-172000,-44400,-4700,52510,-25000,22000,791100,-45300,99100,29600,142200,384900,64000,-26900,82400,154000,10200,700
3300000,-3200000,2e+06,1500000,-1300000,9e+05,1500000,2500000,1200000,-2e+06,7e+05,1900000,2e+06,-1900000,2e+05,1100000,8e+05,1e+06,-4200000,1200000,-1700000,-1600000,-1700000,0,1600000,3e+05,-1900000,-2300000,1300000,-3e+05
267000,-49000,703200,28760,610000,-84000,-35580,-476800,550000,-317600,131900,3500,66000,95000,-3900,-15000,-104000,-437000,112500,-766680,-53500,214180,315800,-1874200,536600,-165200,395500,-142300,-62000,245200
1316600,-214900,21000,-46160,-13610,198600,-90,-700,-755100,-397000,1848000,-86600,-155500,-18100,5180,-1290000,-45670,-11700,1451260,5060,-234900,866870,4800,-1900,-14000,-1904400,6517900,44600,47600,-20
-2228000,417000,-618000,-588000,-287000,-147000,105000,-763000,-504000,162000,106100,-207900,-412000,-1067000,-125700,958000,2630000,6000,848000,1717000,-247000,149000,686000,1806000,1940000,395000,1328900,6934000,169000,561700
-2070,-4060,-338680,0,9720,2800,0,-63800,-8900,-3310,1000,-2050,1550,0,-3370,2980,1420,-2320,2180,-7800,457440,2040,5180,15000,-1050,-540,19600,16900,7980,464350
-175500,600,-772000,-78400,14150,-38000,850,-167700,-131300,27000,10660,-70050,112000,20000,-8150,-45100,37700,-42500,223400,-16060,88000,890,153700,80300,74000,-5000,78150,353000,163500,4290
-310700,-185000,-389000,-74000,18000,12603000,-79000,-240400,-41000,131000,-92400,-147700,284000,-17000,-192700,-35500,26000,-79000,-36000,-33000,-12770000,35000,83400,-35000,-690000,141400,139700,-81000,18000,76700
-155000,1064000,-250000,49900,572000,-1375000,-6090,-2377900,-252000,-341000,-39300,39500,-344110,53100,-114400,-23000,-1444400,-314100,402600,-824930,216000,13540,601900,-165000,242000,2800,902000,245110,-95800,-29160
-95700,2212000,-880700,43900,831000,-1560000,1630,-484700,-518000,-202000,-16000,70220,-51000,168800,-693130,337700,-1739000,193700,877200,-1334000,125000,25760,1060700,-181000,714000,-52400,1102700,-245800,-17000,1840
-31000,160000,315000,-159400,-176300,290200,12700,-366000,219000,159000,-11000,-403400,65000,58400,38680,4800,146000,-426400,349400,93300,-19000,-1000,-122900,146000,-241000,107500,-12000,63000,-69400,-28200
-6560000,680000,-60000,-610000,440000,-660000,-318000,-1180000,-1460000,2570000,-70000,-1178000,-1350000,680000,-327000,1490000,490000,-1590000,1720000,-330000,180000,120000,940000,290000,-1630000,490000,638000,2450000,-570000,397000
-120000,110000,190000,-90000,60000,-90000,130000,-120000,80000,10000,320000,170000,-80000,-30000,310000,-160000,-550000,-70000,190000,60000,-110000,110000,30000,-230000,-180000,-120000,150000,2e+05,20000,-180000
-1348000,1335000,117000,-210000,1417000,-508000,-4220,-366000,280000,1752000,24000,-112000,-976000,-65800,-214060,206000,-1148000,33000,587000,-1403000,-50000,7180,1226000,-160000,-1310000,-176000,89000,1336000,43000,23860
-441100,-11010000,-1355000,-62800,-10000,1344000,-7600,-23000,-550000,-221900,49000,-108800,-14000,-710000,-65900,14300,3540000,-346500,775800,-99700,-967000,7600,-90000,-1012700,243900,40000,-3200,-108200,1166000,188500
237000,-87000,-517056000,225674000,1030000,12648000,282000,-10517000,-2375000,4500000,11800000,-26000,640000,-46900000,6346000,-807000,236000,-338000,-216640000,-1045100,33600000,70000,23217000,-777300,-5050000,-15340000,1385000,-170000,-41400000,19730000
-50500000,4.4e+07,73200000,13900000,8600000,-2100000,3e+05,-7900000,1e+07,26900000,1.8e+07,6400000,1400000,16500000,5e+05,-6200000,-2.1e+07,-93500000,92700000,4200000,7800000,-3700000,-19600000,-7.6e+07,-22900000,-18100000,8e+06,8700000,-7300000,15800000
2700,-1000,322000,-36060,-577500,9150,114400,12900,-4179000,-1148000,513000,-6760,-154700,-36000,44800,42400,288200,-386900,292360,4000,-6000,1376000,42200,-84000,-188800,-608000,138320,164700,1321000,167300
-4880000,15360000,-12660000,590000,60000,4700000,3500000,-2500000,11600000,14910000,-470000,950000,7550000,5520000,3590000,-640000,-15530000,-3470000,2530000,-1273000,-8580000,-1170000,-1660000,-22690000,-18590000,-870000,-470000,-8360000,-6155000,-1920000
-17730,3610,-7900,-5410,200,42920,-840,-43000,-6583400,208000,131900,-49440,74200,98440,-51420,0,-5940,-30440,17150,-23600,-23000,360,-23700,115400,521000,-87600,-1730,-30200,-89600,46920
-7e+05,-5830000,-2450000,-868000,1936000,5200000,-21000,11420000,16290000,940000,-470000,-3173000,-730000,560000,-1286000,620000,3060000,-1150000,1538000,-590000,-5380000,353000,-14700000,-22170000,1350000,-2049000,5393000,-650000,-310000,-12000
-15590000,6e+05,-1e+06,-6350000,-1060000,-29400000,-1310000,-11800000,-9500000,11400000,2500000,-9830000,-3200000,1e+06,-1140000,2060000,1200000,-7700000,14650000,3320000,-1700000,1730000,2800000,5200000,4600000,7e+05,8630000,12800000,-2e+05,1700000
1656800,-84000,119600,121000,191000,60800,-1100000,748000,-139500,-120980,350000,477000,269000,-634000,720000,-874000,-133600,-86700,-182700,289000,385000,330000,-712000,187500,124980,-632000,-170000,-603300,328000,-30000
-270900,-154600,-424600,-1430,-1890,74000,-1860,-24660,-105000,32000,17820,-60200,-26700,-1600,-920,-19840,149600,-52460,16800,390,-24000,0,10,-68900,-2000,-5000,191000,238900,0,8080
25500,4300,4500,-6300,41640,-5700,-4710,123400,-936500,-245000,41100,268995430,-7600,-19500,-35680,-45150,-12180,5000,-1000,15700,-21960,5360,-132800,30200,-132400,-80810,-268974100,-11400,77000,17580
-17700000,-11100000,16340000,-7900000,-3600000,-25900000,790000,-17380000,-1.8e+07,-3100000,-3e+05,-6600000,-3900000,3800000,7e+06,-36900000,-33930000,-6300000,-17650000,-5050000,-5730000,-5346000,10180000,-19927000,-16596000,-4700000,-6150000,-22027000,-23550000,-23154000
-445800,305000,313000,5800,51000,-596700,-72170,-54900,-576500,124000,76300,-41930,-146000,-125400,-11150,-2200,-209000,-28000,99000,-53600,-3400,10670,-5800,160500,117000,14000,35430,93000,66000,4570
-42210000,-2080000,-15800000,810000,-360000,14140000,-3394000,-9860000,5e+06,-1700000,3390000,-4620000,1260000,-659000,650000,780000,-620000,-3020000,6800000,5910000,-17820000,1484000,5360000,1.1e+07,-12600000,-1270000,4390000,4550000,2149000,-770000
231000,94000,-1231000,692000,110250,-1130000,0,-586000,-2456000,-614000,1311000,-41160,-14500,0,-57560,-335000,-747010,-32600,-84000,-109480,-120600,8550,76800,322000,139000,-843000,3533660,109100,1910,-470
-918000,170000,-3490000,-180000,1870000,1343000,-108900,-2990000,-3190000,5510000,70000,-1710000,-1702000,-15000,178000,278000,1790000,-961600,1910000,370000,1710000,-10400,1320000,2360000,-6e+05,1830000,810000,4412000,189000,362000
-10420000,4310000,-73040000,-3800000,2630000,34350000,-2490000,-32060000,-9680000,-6470000,7280000,-3817000,1870000,-1290000,5540000,-1010000,-1380000,-4297000,6890000,-4343000,-31770000,11340000,660000,-4403000,6370000,-8290000,2837000,-4860000,490000,1430000
-551000,103800,-39300,860,-35910,-42000,-650,600,-264000,200,83400,-14230,-93300,4060,-2749,-106600,-169600,21200,10990,-3330,-83900,4890,-40500,-126500,-20700,-117000,7830,176300,100620,11839
-1.027e+09,-4.8e+08,8.12e+08,-5.5e+07,1.8e+08,-6.92e+08,28800000,-5e+08,-2.644e+09,9.83e+08,-8.77e+08,5.4e+08,-2.954e+09,9200000,3.47e+08,-3.21e+08,-1.712e+09,-9.65e+08,5.44e+08,-5.27e+08,6.4e+07,-13700000,5.2e+08,1.08e+08,-9.34e+08,7.32e+08,-1.2e+08,1.634e+09,-8800000,-3.81e+08
-1.315e+10,3.9e+09,-1.08e+10,-3.77e+09,1.84e+09,2.1e+09,-1.07e+09,-3.4e+09,1.2e+09,4.8e+09,1e+09,-5.83e+09,-2.2e+09,2.45e+09,-1.48e+09,4.45e+09,2e+08,-4.7e+09,8.17e+09,4e+07,-1.6e+09,1.52e+09,3e+08,-1.5e+09,-4e+09,-1.1e+09,3.36e+09,7.1e+09,-2.22e+09,5.9e+08
-12330000,4e+05,-37200000,-1740000,-450000,16900000,-394000,-5020000,15190000,-7e+06,3360000,-8010000,-2650000,-5e+05,-780000,1440000,-3400000,-5780000,5650000,-340000,-22350000,776000,2980000,-7700000,-7e+05,-3470000,7910000,16410000,1270000,-20000
-767000,-163000,-1120000,-316800,-82000,133000,5600,-628000,-467000,1368000,19000,-224000,255000,52000,-109000,138000,78000,-890000,383800,10000,-520000,100700,260000,797000,-1128000,62000,394000,219000,3000,260000
-608000,5810000,-557000,-568000,4160000,-4804000,4100,-3967100,-2590000,-990000,-72000,-645900,-564000,497000,-737600,697000,-3500000,1537000,3319000,-5077000,305000,204600,3797100,1e+05,860000,-69000,3239900,1684000,-305000,-33900
-1295000,208000,-270000,-356400,144000,-67000,-312600,-202000,-320000,870000,-37000,42000,-475000,-62700,-529000,209000,-45000,-53000,525400,-307000,137000,13600,445000,-77000,-795000,18000,40000,625000,-1300,138000
-3070000,3870,0,1510,51200,0,0,0,2950,0,0,0,0,-1710,0,24900,-3870,0,-1510,-51200,0,2220,0,-2950,0,0,0,3100,0,0
-2670,0,-480900,0,0,233000,0,0,0,-136000,-531240,0,4780,0,1660,0,1630,-2100,0,0,-230420,0,2360,2570,0,858240,0,-2460,0,-200
554500,-18120,-1542000,-129100,228000,404300,220900,-21200,-80300,44700,-584100,28200,-59890,-5400,162400,-172000,30320,12100,-200,-303100,332000,62000,1480200,-18500,-15700,-35300,-16000,8390,195700,-164700
-1899000,60000,-160000,-160300,-50000,-550000,-36500,-760000,-645000,980000,-21000,-93000,574000,90000,-36400,341000,-310000,-970000,397300,-52300,-140000,100800,40000,481000,-340000,69000,64000,-594000,-132000,43100
-21700,-307000,-105100,-73440,-38600,68200,63300,-15600,-151100,103200,19600,1670,-21900,83760,-613000,-18500,532000,50900,114940,-25500,47000,95200,2128400,5600,-23700,6000,25500,20200,-68900,-331500
-1365000,790000,210000,-40000,1196000,-50000,-344000,-1155000,0,690000,40000,-345000,-610000,299000,-305000,-8000,-380000,-170000,540000,-978000,-1109000,461000,835000,-140000,-220000,380000,1210000,1590000,-83000,-198000
-10220000,-8370000,-3300000,150000,2440000,4260000,-340000,-4400000,2e+05,21600000,-1430000,-11650000,3700000,1170000,130000,1960000,11470000,0,5520000,1580000,-7730000,1200000,1990000,9200000,-16600000,730000,6330000,21060000,1630000,1230000
-292000,-10000,-402000,316600,-15000,17000,-363000,280000,-98000,-190800,-77000,83000,129000,-87000,377000,65000,216000,2e+05,-175000,-2000,93000,-52000,-362500,338000,60800,192000,-414000,-58000,-26000,36000
-153700,19000,-406000,-14000,19700,19000,-8500,-98600,78000,119700,-9300,-62200,39900,-1100,-27700,3900,43000,-54000,94000,55900,-97600,47200,116600,-130400,-60000,37000,112200,-47200,12700,7600
-3763000,5379000,1308000,677000,-646000,-97000,-830000,-863000,-13945000,211000,-1123000,-4680000,-512000,-223000,-13000,-707500,-5730000,2e+05,-847000,4000,-93000,1610000,98000,3665000,788000,-86000,690000,408000,93000,-125000
-392000,-24000,-251000,-216200,-95400,135400,-60,-118500,128000,136000,28000,217000,289300,-85370,-404600,97000,14000,-123000,158200,255400,26000,25180,285500,-60000,-298000,44000,2000,142000,11870,122600
490000,-9000,211000,654000,-358000,23000,87000,-392000,216000,5000,215000,198000,482000,-430000,428100,-539000,17000,516000,-797000,351000,-371000,-69000,-36000,-2000,105000,-167000,-106000,-743100,39000,125000
-7e+05,409000,-1808000,43000,799000,-109000,16000,-4466000,-1e+05,715000,40000,-22500,-160000,644000,-79700,692000,-850000,-249000,1190000,-764000,759000,144000,1186000,-1582000,-20000,-51000,510000,240000,-513000,40700
15210,-1022000,-670000,382600,20900,41070,-259100,-80600,298100,136300,81280,10200,-104000,27100,-42870,84700,902000,-62000,-342000,37200,134600,129100,-57400,472000,3280000,73000,93100,239000,96000,3570
-1658500,340000,-366000,-375100,9000,-413000,-16200,-8980000,-1044000,227000,13000,-132900,-1974000,198300,-103300,385500,-788000,-332000,586100,11000,-128000,50000,47000,-124000,-16000,180000,715900,534000,-74000,108300
-433000,-130000,-420000,-3e+05,-374000,-818000,-7000,-4022000,-780000,1630000,-390000,-4230000,20000,181000,183000,123000,-309000,-632000,148000,123000,558000,-26000,462000,-90000,10000,730000,1900000,870000,58000,-32000
-6450000,4e+06,-21300000,-3180000,490000,6100000,-540000,-6900000,-7800000,10300000,-80000,-7620000,-3060000,1420000,290000,2160000,7e+06,-1510000,15660000,-790000,10900000,2260000,3100000,11800000,4200000,210000,9020000,9860000,10000,2290000
-1209000,4945300,-310,-1700390,158000,29400,-1102000,147900,12560,-2720000,-30,-732350,3400,519600,137900,3359000,-2820000,650990,417390,661000,-58300,1452000,3251000,1993500,7810000,-70,8450,67750,-593940,-67800
1584000,-26450000,6000,-1040000,2031000,7030000,-104000,-781000,-20510000,-629000,-512000,152000,182000,595000,-276000,-70000,9750000,-151000,10110000,-1430000,-7290000,898000,1851000,-1220000,1839000,-431000,1520000,616000,280000,3000
54010,-240,-449700,-1550,2070,424740,143600,0,-2110,2120,0,0,-1900,0,0,-58000,-1870,-8770,0,-550,-306000,-188000,2030,2710,-390,0,2260,2720,0,0
-579100,-46300,-335800,83000,17400,-48600,-24460,-49230,23000,-7000,-3727060,-13470,-145600,87200,-13820,71100,108900,11100,-196500,-19600,307600,192160,84230,923000,568000,4687060,262570,1664600,189200,430620
-258000,190000,72000,291000,35000,-251000,-87000,-153000,-69000,34000,-154000,-135000,80000,122000,190000,385000,-85000,26000,-456800,432000,251000,-23000,135000,-2000,132000,274000,204000,49000,-192000,-124000
-78000,645000,-305000,137000,170000,623000,-195000,-244800,102000,1379000,430000,-275000,209000,225200,-87000,-243000,-927500,-355000,949000,-80000,-367000,933000,1289800,255000,-1636000,19000,507000,178000,324000,447000
-18300,142600,46100,-194000,-1860,-2290,700,-490,-37000,20610,170,1420,4930,740,1030,10300,-137300,-59500,11400,3000,1210,-1320,-1560,1590,-8000,-620,3300,397520,3580,900
-337000,-26100,-437000,220,-231000,268600,125300,-710,6980,-483700,5680,-65170,-10518,-65700,-9000,3900,-20300,-914900,14190,-333430,584000,-89300,210,12570,55100,-370,2830,2818,49700,5900
10113000,6540000,3190000,194100,6720000,-5060000,-82500,-71100,-1560000,1046000,-13510,-1995290,-93260,-96000,117100,2400000,-9303850,-5710500,925000,-7727160,-976000,798500,-4500,-610000,-1161600,9610,6135290,277260,276000,-108600
84600,-4074500,-2557000,-716600,-187000,1416000,-9100,100300,2030000,369000,6000,-570200,-806000,-520,-3830000,341000,184500,1397000,58400,-327000,690000,8900,9989000,-2810000,695000,-93700,190200,251000,8160,-1350000
4130000,560000,-2380000,920000,23230000,-1e+06,-250000,-3390000,8800000,3e+05,970000,-2060000,-5330000,1930000,-5090000,-4460000,-1380000,1790000,2960000,-25410000,-9180000,490000,13680000,-5500000,-2180000,16970000,8370000,8530000,-920000,-370000
17000,-13000,40000,62000,-21000,31000,53000,69000,-47000,-166400,-19000,-92000,23000,13000,-40000,29000,5000,-19000,-51000,19000,-79500,-61000,-37000,27000,114400,60000,-8000,-12000,-39000,66000
-27210,-471800,-74900,-12400,425000,-151000,8220,18200,-30000,-34000,38000,-126960,-162100,-28330,-71550,8210,-17400,8500,307600,-611400,102000,6100,-36500,-86000,64000,646000,252960,175100,20030,1750
45100,-96000,151800,-44100,1240,9600,26880,-2598290,-3100,-7040,-1900,0,-80,234600,2120,222700,24600,-145100,2040000,510,-40770,-26510,2300,43090,54540,1100,1910,25090,-247190,-1040
-18580000,-59900000,-4700000,-1700000,9520000,-12480000,-5530000,-8030000,-69900000,37600000,5330000,-15310000,-25600000,4910000,71360000,2140000,12800000,-5490000,6840000,-10800000,7480000,4530000,910000,-20900000,-22500000,-2500000,11910000,24500000,-4650000,-68060000
-30400,-103000,-120000,-238270,-429300,469000,42800,-5150,396840,-79320,11000,-487170,2290,-672000,-2570,-380,605000,-163770,80270,351300,-960200,-85270,0,-387100,102320,-180000,-1480,-2290,212000,39800
-4123700,-8430000,3680000,-1206000,-603000,-6160000,262000,-230000,-3500000,-2e+05,-790000,-167000,-180000,-138000,38000,1523700,-540000,-4720000,5396000,613000,-840000,210000,-1010000,-9e+05,1440000,340000,299000,1170000,-487900,-216400
52000,1087000,-1980000,-140000,129000,522000,3434000,-683000,-320000,2140000,2253000,-1365000,10390000,3832000,-68000,-133000,-670000,-70000,380000,-155000,-490000,340000,2493000,-10000,510000,-2400000,235000,-10350000,-3210000,-1000
-26690,-2340,-15100,-2370,-1300,72700,500,300,-223910,-27600,-22490,-5860,1370,3980,6450,-550,1120,-35500,8850,11600,-78020,30,0,14110,306500,8190,1360,5130,-1310,-8580
-318000,-3194000,54730,365400,1146000,-194600,-535000,235900,-450000,544800,1690,93500,-99000,16600,18830,-110200,581000,-15100,224000,-1177000,193600,1793000,-218400,36000,-505700,3140,-32100,44000,-11900,62200
-3378000,-713000,-2989000,-608400,22000,996000,560,-862800,520000,3620000,-110000,-610000,-659000,-48900,-2123000,510000,86000,359000,555400,323000,-818000,-830,1335800,-60000,-5890000,190000,1351000,2579000,-13800,121000
-26570000,8800000,-32700000,-7e+06,-1e+05,2800000,-990000,-23800000,-9700000,7900000,1e+05,-8900000,-7900000,4300000,-2270000,3570000,-2600000,-1.1e+07,23200000,-1600000,7300000,3480000,11800000,-6e+06,-1400000,-1400000,7e+06,19600000,-2500000,2520000
-1347000,2210000,-4990000,520000,430000,-270000,-203000,-190000,370000,912000,440000,211000,-2e+05,550000,-7000,97000,-340000,-2462000,2290000,-170000,5e+05,122000,-328000,-1900000,-597000,-1363000,85000,550000,-276000,227000
1520000,1250000,-7000,-172000,1348000,-2100000,-1028000,258000,-3820000,-576000,1642000,-172000,-2590000,-268000,-75000,-2510000,-1e+05,1178000,470000,-1724000,157000,1718000,-352000,-1430000,1626000,-1685000,1406000,-357000,39000,-518000
-40800000,26900000,-109400000,-710000,-33200000,43900000,51500000,-59770000,3.6e+07,-45600000,25600000,-8460000,-140000,1300000,5210000,-2610000,-2.9e+07,-54400000,25750000,-8870000,-39500000,-32500000,6320000,18200000,9900000,-10200000,10300000,18660000,-1210000,-3200000
-230700,150000,-88000,-282000,17600,-118000,6500,-12600,-37000,13000,31000,-69670,44000,256200,-64300,-50500,-101000,-54400,29000,33700,-103000,179200,34700,156000,259000,-61000,20870,101000,-219500,-15700
-5910000,5420000,-6050000,-1510000,450000,-1180000,-260000,-3560000,2900000,10070000,-2480000,-160000,-5510000,-250000,1240000,1280000,-3470000,-1700000,4300000,1690000,5680000,-1730000,4550000,-10320000,-10750000,-210000,7e+05,6010000,90000,-2e+05
-54100,-39000,-166100,26900,86200,-10500,1620,329700,196000,-49860,-5260,-8260,-82600,6450,-1570,37500,-32100,-18800,-21800,-95750,7700,4070,-317700,-338700,104360,8340,4620,15800,42800,-2370
-881800,688000,111000,-279000,-175400,-865600,-24000,-113000,-1517000,170000,-30000,-635900,-931000,-64000,-26700,120800,-474000,129000,339000,102400,129600,15400,-4000,524000,112000,-205000,249900,531000,-72000,27300
-36300000,-47300000,22600000,-15100000,-9100000,-27100000,-15900000,19600000,9e+06,-4e+05,1e+07,16600000,-44700000,-1200000,20900000,-7500000,9300000,-4.1e+07,29900000,-14900000,26100000,4.4e+07,-32700000,-57700000,21400000,-5300000,27100000,-23400000,-20600000,-27700000
-790000,108000,-2895000,-583100,657200,3440600,-303200,-4712800,-975000,1710000,-770000,-407100,-594000,-212000,1258000,920000,316000,28000,1980100,-356000,-3138000,2582200,1342800,395000,1150000,-1517000,1727100,3214000,772000,-110000
-3830000,13100000,10268000,646000,-13000,-4776000,13300000,1428000,-61340000,-1020000,-830000,295000,-1670000,268000,-2699000,-1683000,-17900000,-8910000,-835000,321000,526000,-5e+06,-970000,-1150000,-4783000,-1207000,770000,-110000,-442000,729000
-758200,-340000,-820000,-2749000,-2670000,2730000,2208000,-450,3473500,-969900,-150000,-4160000,-2300,-4500000,-51060,256200,6820000,-2080000,959000,2670000,-7565000,-2809300,250,-3505550,1859900,-1610000,2830,-2530,1390000,4710
-2000,2088000,-14000,95500,1390000,-2633800,-350,-2133970,-775000,-712800,115000,24600,-390200,575600,-326190,502000,-1130000,572100,1479000,-2366370,166800,21940,2553970,-296000,777800,-151400,1635100,4800,-485000,370
-2.5e+07,6.7e+07,-93800000,9.6e+07,1.76e+08,-9.7e+07,-31400000,3e+07,-1.4e+07,3.4e+07,1.8e+07,-1400000,-2.69e+08,-6.2e+07,1.6e+07,1.13e+08,-9.1e+07,49800000,7.2e+07,-1.62e+08,9e+06,71400000,-6.3e+07,-1.7e+07,-4e+06,-3.6e+07,49700000,7.2e+07,1.41e+08,-4e+06
-12520,94600,-2070,0,-1400,0,0,0,280,0,17900,0,-5170,1380,0,47220,-93200,2630,5570,69600,10200,1370,4910,322110,676000,-16130,53800,180000,21020,2240
76000,380000,181200,-14390,-27650,-1150700,-3220,-98900,-1275000,-401000,-262650,-15400,-281300,-13200,2240,-167900,-995000,-219490,119290,16250,60700,4550,-24340,-269100,-425000,192650,63400,18300,-7100,-1010
-160000,-160000,1150000,438000,-10000,70000,55000,-40000,20000,308000,270000,311000,340000,246000,-13000,-120000,110000,-1406000,629000,160000,10000,-191000,-379000,-687000,-173000,-250000,125000,-390000,0,291000
-1686000,-5350000,-1400000,-3170000,-4440000,680000,-1344000,1840000,-3590000,1680000,-4590000,130000,-680000,20000,4e+05,-289000,9450000,-1890000,1660000,560000,-1e+05,1314000,-2526000,-1240000,2690000,2950000,-678000,-380000,-1720000,1860000
-3e+06,4360000,-9e+05,-5e+05,1320000,-8570000,1870000,-4020000,4070000,-8e+05,2790000,-2520000,-710000,-1970000,-9e+05,2770000,1200000,4700000,3570000,1280000,-4020000,1800000,-1490000,8700000,-7910000,-5090000,-610000,6200000,3280000,-450000
610000,2180000,-823000,-13000,1686000,-1460000,191000,-196000,-880000,420000,88000,-478000,-1692000,1550000,-738000,-830000,-1910000,30000,467000,-2082000,550000,30000,1795000,-780000,450000,184000,1036000,652000,-1980000,194000
-690000,-760000,-2060000,-8e+05,-230000,-1610000,-1120000,-1330000,470000,-380000,-760000,-1750000,-30000,-1680000,320000,1360000,960000,1540000,90000,1200000,1020000,1600000,-210000,660000,840000,450000,1280000,-370000,-1180000,-640000
2e+05,622000,-232000,-130200,-45000,-101000,-13000,344000,-1560000,776700,1734000,-46800,-1138000,-62900,-229600,-2010000,-550000,-114900,41800,619000,-62000,47800,-332000,-832000,814000,-1855300,-78300,11000,390900,100600
-3e+06,-3610000,-23640000,-6834000,-43250000,4770000,-807000,1563000,-2200000,1880000,-1560000,-10400000,-5660000,104000,-8200000,-1090000,3130000,5310000,1334000,-3320000,-1240000,75000,4790000,-13580000,-1760000,-704000,-10000,-1200000,209000,9500000
-155000,-2524000,61000,-387700,-161000,2951800,4000,20000,1350000,207000,-710000,-561000,187000,-52100,62000,716000,-245800,-318000,48700,-273300,-2940000,4000,-150000,-2967000,-213000,81000,1969000,-223000,43100,-3000
1925900,11471000,276950,19460,247110,3722100,996500,243300,16083700,20673000,637730,1525520,8043500,2968400,3111590,-1929800,-11672900,-205400,-11900,-247750,-3735090,990000,-286070,-16092360,-20687500,-628100,-1526020,-8037700,-2966780,-3107100
-1486000,-3400000,-4320000,-2770000,-2490000,-1190000,-9e+05,960000,-4910000,3660000,-2840000,-159000,-1220000,480000,30000,-58000,1.3e+07,-1220000,3920000,450000,-230000,1250000,-1657000,-730000,5290000,1980000,-44000,940000,-1011000,1320000
-14240000,7500000,-27700000,1890000,3060000,5800000,-1700000,-26050000,-4200000,4200000,-1760000,-5340000,-11170000,1290000,-6400000,1960000,-2200000,-3810000,480000,-3960000,-12350000,2960000,5150000,3600000,-10300000,1170000,10470000,12770000,1300000,340000
-57120,8000,114000,290,-69600,-383100,-2460,-979100,-270000,218000,-59800,-39910,-53600,-2130,-3470,15720,134000,-234500,50340,-22400,31100,3210,19900,63000,-413000,17900,46210,212300,610,-280
-8020000,-1800000,3880000,-5370000,2540000,-570000,140000,-5760000,-7e+05,-1800000,-830000,-3600000,850000,2320000,1740000,1170000,4970000,-1930000,7790000,-2990000,-1550000,810000,450000,-1950000,4800000,1130000,3880000,820000,-790000,-1870000
-3274000,8400000,-17140000,-4800000,-3e+05,16360000,-299000,-2880000,-1530000,5010000,-1580000,-2120000,-1090000,440000,7e+05,454000,-8200000,-1260000,15500000,-330000,1.9e+07,863000,-30000,-4610000,-2740000,510000,1190000,1440000,-80000,-303000
-255470,-60100,-467000,-71310,56600,-732800,163580,71100,-3000,-32100,21570,-140690,-58640,-2350,-78890,65770,8600,-70000,47210,-58800,-26700,484000,152900,58000,43700,68800,1800,123240,1700,40690
