"a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
-2920000,2990000,76300000,238500,-33700000,15070000,3970000,453900,8290000,-970000,55000,-983100,-5776300,-190000,8663000,-2920000,-3112000,-107930000,19511000,-6344000,-8800000,1370000,-452800,6.6e+07,-6047000,5708000,1383100,332300,1520000,-5100000
-16130000,-1520000,-923000,-604000,957000,1490000,-214780,-560000,-13900000,1770000,-2590000,-3058000,3210000,7343000,4218000,-2750000,190000,-10000,1942000,-1055000,-6e+05,783780,-4356000,-974000,-780000,-174000,1388000,-3660000,960000,-1820000
-1300000,1110000,-9100000,-130000,-330000,-840000,-170000,-1330000,3390000,9970000,-1300000,-460000,-480000,320000,486000,990000,4750000,-2160000,8310000,-4e+05,2280000,1e+06,2630000,-1010000,-1200000,160000,1200000,1420000,-1490000,640000
15000,-12000,104000,-87000,-62000,197000,64000,-11000,22000,84000,64000,-43000,-982000,-73000,-226000,-27000,-50000,-2000,15000,-19000,-241000,-32000,-70000,-260000,-67000,-9000,-9000,-106000,53000,270000
3220000,1945000,60000,139400,580000,6150000,143900,-772900,-12460000,4649000,-770000,5530,-26867000,-276000,-92000,-4340000,-1130000,-832000,442000,-965800,-520000,384000,289900,-1050000,-4666000,-82500,511500,163000,343000,-303700
-2580000,1140000,-4320000,-1140000,-1120000,-1440000,325000,-1370000,-1710000,6520000,-620000,-1131000,-2420000,920000,2e+05,-440000,-1520000,-5e+05,2330000,1090000,-650000,590000,50000,-680000,-5640000,990000,2091000,1240000,-710000,320000
-6100000,5.3e+07,36690000,-230000,4660000,-29100000,660000,-7860000,-4.5e+07,7100000,-7e+05,-4740000,-4400000,1100000,-3230000,-4460000,-29800000,-29600000,7710000,-4740000,16200000,-590000,10660000,-2e+05,3400000,5200000,10040000,9700000,-4900000,190000
-91700,-31600,-3000,-23270,17660,-12200,-14240,29810,-740000,38500,91430,-8390,19450,-47400,13090,31200,42200,-18900,111070,33700,-100,11940,-24850,-59500,58600,-79300,79690,22100,12500,-2800
-2350000,1440000,180000,109000,11710000,-15860000,-679000,-1680000,-5e+05,-3410000,-390000,-2767000,-5540000,1665000,-6010000,110000,-1130000,-420000,1117000,-15417000,-890000,305000,5200000,-740000,-1080000,760000,3347000,1050000,4220000,-768000
-44270,736700,-170800,1000,69400,135800,1900,-46950,110000,51000,-53300,-56740,-66800,-30900,-18190,620,-735800,-45800,15800,-4800,-69000,176600,36250,-560000,-16000,52200,14440,127800,21300,8290
9100000,-8940000,17120000,-380000,1200000,-23900000,-2218000,-4380000,-98640000,-65600000,-1.6e+07,-19950000,-3690000,-1520000,-140000,-11210000,-1400000,-22470000,48120000,-2690000,-17840000,13788000,470000,2670000,-2510000,1300000,37650000,7770000,17210000,4870000
-2241000,4090000,-4070000,-310000,-230000,-9e+05,-11000,-2040000,1560000,16040000,-150000,-567000,-2750000,472000,-48000,891000,-2910000,-6e+05,2600000,-339000,440000,90000,1320000,-3630000,-14990000,-260000,18000,2470000,-110000,-18000
-4120000,1.1e+07,-14850000,13400000,21890000,-2e+06,-3440000,-23400000,-8520000,1.1e+07,1400000,-1714000,-36070000,-10800000,2200000,10120000,-18100000,170000,23700000,-19450000,-6390000,7560000,1900000,-1480000,9e+05,-5e+05,10604000,9070000,24500000,1250000
-4880000,-4010000,-2970000,-110000,1181000,120000,-22000,-2400000,-1980000,9810000,-540000,-5123000,1810000,-1314000,90000,1050000,4260000,-2600000,3530000,-10000,-4390000,381000,1570000,3360000,-6500000,510000,3173000,9400000,1254000,359000
56900,235000,-274500,834300,18620,-1305700,-15500,-174980,-1033900,-118900,466500,-23900,8800,120,-117900,-105360,-282000,-49300,-733000,-20340,14400,183300,8380,101900,143900,-422200,1175400,69500,18610,39800
